timestamp_ms,direction,msg_id,dlc,b0,b1,b2,b3,b4,b5,b6,b7
26400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
26600,TX,0x100,8,8D,01,64,03,5A,0F,79,06
26600,TX,0x101,6,CA,00,4D,01,00,00,CC,CC
26600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
26800,TX,0x100,8,93,01,62,03,61,0F,8E,06
26800,TX,0x101,6,C6,00,53,01,00,00,CC,CC
26800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
27000,TX,0x100,8,97,01,60,03,5A,0F,A8,06
27000,TX,0x101,6,CA,00,52,01,00,00,CC,CC
27000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
27200,TX,0x100,8,9E,01,5E,03,62,0F,91,06
27200,TX,0x101,6,C7,00,59,01,00,00,CC,CC
27200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
27400,TX,0x100,8,A2,01,5C,03,53,0F,A6,06
27400,TX,0x101,6,CC,00,55,01,00,00,CC,CC
27400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
27600,TX,0x100,8,A7,01,5A,03,51,0F,A2,06
27600,TX,0x101,6,C7,00,56,01,00,00,CC,CC
27600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
27800,TX,0x100,8,AB,01,58,03,54,0F,C8,06
27800,TX,0x101,6,C7,00,65,01,00,00,CC,CC
27800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
28000,TX,0x100,8,AF,01,55,03,56,0F,D8,06
28000,TX,0x101,6,C7,00,61,01,00,00,CC,CC
28000,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
28200,TX,0x100,8,B4,01,53,03,55,0F,BE,06
28200,TX,0x101,6,C8,00,5E,01,00,00,CC,CC
28200,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
28400,TX,0x100,8,B7,01,51,03,52,0F,D3,06
28400,TX,0x101,6,C5,00,66,01,00,00,CC,CC
28400,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
28600,TX,0x100,8,BC,01,4F,03,52,0F,D1,06
28600,TX,0x101,6,C9,00,64,01,00,00,CC,CC
28600,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
28800,TX,0x100,8,BF,01,4D,03,4B,0F,F5,06
28800,TX,0x101,6,C7,00,6B,01,00,00,CC,CC
28800,TX,0x200,4,00,00,00,00,CC,CC,CC,CC
29000,TX,0x100,8,C3,01,4B,03,50,0F,E1,06
29000,TX,0x101,6,C6,00,73,01,00,00,CC,CC
